Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.72656666239613E-06,0.0437412928966446,0.0707957165798948,0,0,0,118.419767461939,3.1138586576166,-0.000267480261120321,-0.000240262022398941,3.13781428617829,0.0591887403135809,4.06021684496764,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/base_link.STL,,外壳-1;底盘-agv-1;升降柱外壳-1;转接板-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel-r,0,-1.38777878078145E-17,-2.77555756156289E-17,0,0,0,0.941042738950082,0.00170499901767243,-7.83036536159823E-51,-3.93685896742917E-35,0.00170499901767243,-1.70860751235549E-36,0.00311129672944552,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/wheel-r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/wheel-r.STL,,轮-2,w-r,l-w2,w-r,continuous,-0.1793,0.050006,-0.2071,0,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
wheel-l,5.55111512312578E-17,0,-5.55111512312578E-17,0,0,0,0.941042738950082,0.00170499901767243,2.08809742975953E-50,7.9632295469293E-35,0.00170499901767243,-1.70860751235549E-36,0.00311129672944551,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/wheel-l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/wheel-l.STL,,轮-1,w-l,l-w1,w-l,continuous,0.1793,0.050006,-0.2071,0,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
link-1,0,0,-0.151,0,0,0,14.2347501496821,0.254522077593032,1.40946576508768E-50,2.26754525837298E-33,0.254522077593032,-3.78389053889462E-34,0.0264837526534835,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-1.STL,,升降柱-1,c-1,l-1,l-1,prismatic,0,0,0.565,0,0,0,base_link,0,0,1,0,0,0,0.4,,,,,,,,
link-2,-0.00272184217011456,-1.03581995394356E-05,0.152635620082536,0,0,0,4.81096378907801,0.0518101409623762,-3.92243117180089E-06,-0.000221077464376414,0.0578684858223658,-4.1101060130269E-06,0.0150348357164018,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-2.STL,,机械臂底座-1;侧盖-1;相机-1;MiniCobo 2023-03-03-1/MC 00_默认-1,c-2,l-2,l-2,revolute,0,0,0.0745,0,0,0,link-1,0,0,1,0,0,-2.7925,2.7925,,,,,,,,
link-3,-0.0025460222142763,1.29838654272518E-08,0.0487080488190526,0,0,0,1.2679984054123,0.00113364918039248,-8.90052173790371E-10,1.06284029103091E-05,0.00139294470935827,1.94125318630103E-09,0.00124029626232309,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-3.STL,,颈部-1,c-3,l-3,l-3,revolute,0,0,0.3465,0,0,0,link-2,0,0,1,0,0,-3.1415,3.1415,,,,,,,,
link-4,-0.0384844362337311,0.000254434136903972,0.000164186458846916,0,0,0,0.595955123537826,0.00257474893217961,-9.38238274365993E-05,-3.22409543343807E-05,0.00196497079352686,-1.96307006216713E-06,0.00167063669365818,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-4.STL,,头部v2-1,c-4,l-4,l-4,revolute,0,0,0.052,0,1.5708,0,link-3,0,0,1,0,0,-0.0872,0.6108,,,,,,,,
link-a1,-1.9998511011643E-06,0.0134079971471797,0.0943686061195934,0,0,0,1.35363412771609,0.00550421009964208,9.79122039100754E-08,2.49435588815162E-08,0.00543503119641918,-0.000690462717635347,0.00167462250691422,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a1.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a1.STL,,MiniCobo 2023-03-03-1/MC 01_默认-1,ac-1,al-1,l-a1,revolute,-0.104,0,0.069,3.1416,-1.5708,0,link-2,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
link-a2,0.090605416923298,-2.58600093649974E-06,-0.00609952306741931,0,0,0,1.13725613291731,0.00215009827923876,8.33869649445781E-07,0.00254380393250188,0.00820239963405526,-4.4243055112101E-07,0.00725300805967666,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a2.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a2.STL,,MiniCobo 2023-03-03-1/MC 02_默认-1,ac-2,al-2,l-a2,revolute,0,-0.0165,0.156,1.5708,-1.5708,0,link-a1,0,0,1,0,0,-2.1816,2.1816,,,,,,,,
link-a3,0.0420860444220137,2.83552794133612E-07,0.0309278894752134,0,0,0,0.81274798684902,0.000704665343337443,-8.97697298056819E-09,0.000222641185973676,0.00221943524795946,1.40081838032314E-08,0.00212284072119055,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a3.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a3.STL,,MiniCobo 2023-03-03-1/MC 03_默认-1,ac-3,al-3,l-a3,revolute,0.21,0,-0.029,0,0,0,link-a2,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
