Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.72656670896998E-06,0.0437412928958953,0.0707957165782662,0,0,0,118.41976746259,3.11385865768605,-0.000267480262460767,-0.000240262024026112,3.13781428625339,0.0591887402872552,4.06021684499752,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/base_link.STL,,外壳-1;底盘-agv-1;升降柱外壳-1;转接板-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel-r,0,0,2.77555756156289E-17,0,0,0,0.941042738950082,0.00170499901767243,-2.08809742975953E-50,7.9632295469293E-35,0.00170499901767243,1.70860751235549E-36,0.00311129672944551,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/wheel-r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/wheel-r.STL,,轮-2,w-r,l-w2,w-r,continuous,-0.1793,0.050006,-0.2071,3.1416,-1.5708,0,base_link,0,0,1,,,,,,,,,,,,
wheel-l,5.55111512312578E-17,0,-5.55111512312578E-17,0,0,0,0.941042738950082,0.00170499901767243,1.01145213659837E-35,7.9632295469293E-35,0.00170499901767243,-2.35098870164458E-35,0.00311129672944551,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/wheel-l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/wheel-l.STL,,轮-1,w-l,l-w1,w-l,continuous,0.1793,0.050006,-0.2071,0,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
link-1,-5.55111512312578E-17,-6.93889390390723E-18,-0.1505,0,0,0,14.2031875107693,0.252891304426124,1.05709932381576E-50,2.19550939928315E-18,0.252891304426124,-3.76712913961171E-34,0.0264250303637862,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-1.STL,,升降柱-1,c-1,l-1,l-1,prismatic,0,0,0.565,0,0,0,base_link,0,0,1,0,0,0,0.4,,,,,,,,
link-2,0.00277762398406306,1.0569934323891E-05,0.148912659397122,0,0,0,4.71435348627607,0.0484597647638373,-3.91959983211919E-06,0.000172323215577248,0.0545173804209174,3.92409960207935E-06,0.0148484208019365,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-2.STL,,机械臂底座-1;侧盖-1;相机-1;MiniCobo 2023-03-03-1/MC 00_默认-1,c-2,l-2,l-2,revolute,0,0,0.0745,0,0,3.1416,link-1,0,0,1,0,0,-2.7925,2.7925,,,,,,,,
link-3,-0.00254602221427636,1.29838654758241E-08,0.0487080488190526,0,0,0,1.2679984054123,0.00113364918039248,-8.90052173351221E-10,1.06284029103098E-05,0.00139294470935827,1.94125318779449E-09,0.00124029626232309,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-3.STL,,颈部-1,c-3,l-3,l-3,revolute,0,0,0.3385,0,0,3.1416,link-2,0,0,1,0,0,-3.1415,3.1415,,,,,,,,
link-4,-0.0651537616096969,-0.0047760713882394,-0.00258855966774546,0,0,0,0.860242385957563,0.00588612964537561,-5.30092183698953E-05,-1.39111603141453E-05,0.0055256436939544,2.29674090186982E-05,0.00406175865735984,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-4.STL,,头部-1,c-4,l-4,l-4,revolute,0,0,0.052,0,1.5708,0,link-3,0,0,1,0,0,-0.0872,0.6108,,,,,,,,
link-a1,-1.99985110049816E-06,0.0134079971471796,0.0943686061195929,0,0,0,1.3536341277161,0.0055042100996421,9.79122039149874E-08,2.49435588749462E-08,0.00543503119641919,-0.000690462717635367,0.00167462250691424,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a1.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a1.STL,,MiniCobo 2023-03-03-1/MC 01_默认-1,ac-1,al-1,l-a1,revolute,0.104,0,0.069,0,-1.5708,0,link-2,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
link-a2,0.0906054914702124,-2.34087619954693E-06,-0.00609973694238419,0,0,0,1.13724805648928,0.00215007918145803,8.38365248894735E-07,0.00254380308857539,0.00820239284652689,-4.49878288647161E-07,0.00725299239762975,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a2.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a2.STL,,MiniCobo 2023-03-03-1/MC 02_默认-1,ac-2,al-2,l-a2,revolute,0,-0.0165,0.156,1.5708,-1.5708,0,link-a1,0,0,1,0,0,-2.1816,2.1816,,,,,,,,
link-a3,0.0420860444026757,2.8358529791106E-07,0.0309278894474614,0,0,0,0.812747987651568,0.000704665344925642,-8.97639837698972E-09,0.000222641185546588,0.00221943524868455,1.40089393785369E-08,0.0021228407222349,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a3.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a3.STL,,MiniCobo 2023-03-03-1/MC 03_默认-1,ac-3,al-3,l-a3,revolute,0.21,0,-0.029,0,0,0,link-a2,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
link-a4,5.23366801852276E-06,-0.0259459118663939,0.0452714478645442,0,0,0,0.308940957487223,0.00048573730060238,1.5080638573957E-08,2.18662477905864E-08,0.000466354807322248,0.000110728918907802,0.000234923372387531,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a4.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a4.STL,,MiniCobo 2023-03-03-1/MC 04_默认-1,ac-4,al-4,l-a4,revolute,0.1303,0,0.0185,-1.5708,0,-1.5708,link-a3,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
link-a5,-0.0445527740988919,8.72540814711442E-06,0.0283178075044235,0,0,0,0.691485869684423,0.000535872191179119,-1.66789455734827E-07,-0.000165180739103799,0.00167662015586034,4.52845875519478E-08,0.00160760240278284,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a5.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a5.STL,,MiniCobo 2023-03-03-1/MC 05_默认-1,ac-5,al-5,l-a5,revolute,0,-0.01805,0.0802,1.5708,1.5708,0,link-a4,0,0,1,0,0,-2.0943,2.0943,,,,,,,,
link-a6,3.24059162117862E-05,-2.59128758313618E-05,0.0157071301866494,0,0,0,0.147762214293586,6.82806654260406E-05,-1.88579213356931E-07,1.03022750296885E-07,6.73993556738904E-05,4.77520867536062E-08,0.000105059848809307,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a6.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-a6.STL,,MiniCobo 2023-03-03-1/MC 06_默认-1,ac-6,al-6,l-a6,revolute,-0.1233,0,0.01805,1.5708,0,-1.5708,link-a5,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
link-at,0,-6.93889390390723E-18,-0.001,0,0,0,0.00155862265526224,9.71784989903346E-08,-1.09121277893181E-40,-2.82308475359693E-24,9.71784989903346E-08,2.4437407093716E-25,1.93317916210494E-07,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-at.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-urdf/meshes/link-at.STL,,link-t-1,ac-t,al-6,l-at,fixed,0,0,0.036,0,0,0,link-a6,0,0,0,,,,,,,,,,,,
